1. open,2. high,3. low,4. close,5. volume
37424.31,37653.67,36888.0,37304.05,7211.31754936
37304.04,38454.0,37257.56,37745.84,17507.8900414
37746.29,37920.27,37615.91,37805.99,3567.42244915
37806.84,37842.17,37156.72,37462.79,6113.0562518
37462.01,37578.42,36715.1,37241.63,13510.45476059
37241.64,38425.96,36873.55,37838.26,18156.47258233
37838.26,38480.0,37581.93,37863.84,15162.68883049
37864.79,38152.18,37500.0,37732.27,8081.19248391
37732.27,39000.0,37618.25,38703.54,16395.90197806
38706.55,39740.0,38660.03,39478.95,7540.7688183
39467.42,40221.22,39293.02,39984.81,7153.15663784
39984.81,42410.46,39983.6,41987.24,21993.05995554
41985.53,45000.0,41384.03,44084.39,24018.76035474
44086.33,44290.37,43369.0,43764.05,15977.54656616
43766.41,44057.23,42846.53,43280.95,13055.36691088
43281.11,44754.99,43087.17,44192.87,13579.0453041
44192.86,44384.68,43586.14,43723.25,5469.40708431
43722.84,44049.51,43562.06,43793.68,3919.09423649
43793.67,43811.81,40150.0,41229.61,25524.67094691
41229.61,42088.56,40636.51,41477.39,13414.86773655
41477.6,43475.0,40553.15,42885.54,15796.88171408
42887.39,43442.15,41426.76,43027.77,15434.25971384
43027.77,43095.71,41640.51,41933.89,10861.72864667
41934.84,42680.2,41626.66,42237.29,5315.65582307
42235.23,42367.82,41222.0,41349.59,6649.06495765
41349.59,42754.79,40508.01,42650.01,13394.33474824
42650.01,43461.86,41780.0,42266.22,13403.93447528
42266.25,44324.86,42184.48,43674.77,19307.1089644
43673.11,44250.0,43295.78,43875.32,13170.9728222
43875.56,44424.36,43412.82,44013.73,10733.55348079
44013.65,44033.84,43333.35,43726.35,4075.08953972
43728.36,43985.67,42614.17,43025.03,4947.00165569
43025.02,43818.29,42755.35,43589.67,4799.73104807
43589.67,43605.0,41600.67,42515.53,13030.02545286
42521.21,43709.98,42111.47,43474.4,12917.48404475
43469.06,43830.34,42265.08,42581.23,13583.91599843
42581.23,43137.1,41300.0,42063.45,16756.43323881
42064.22,42593.73,41518.19,42141.03,11609.82377015
42139.32,42850.0,41964.68,42288.06,11397.57303743
42288.58,44240.8,42175.65,44220.78,7977.72851143
44220.78,45925.82,44195.13,44972.8,29583.38407747
44972.81,45519.32,40625.68,42862.44,32281.85234351
42860.58,44800.0,42650.0,44193.29,18190.29825676
44198.35,44443.37,42450.0,44186.59,18073.09561495
44187.76,44260.95,43436.5,43992.44,5691.43460343
43992.79,44510.01,43629.7,43950.28,5931.34650683
43954.52,47330.0,43200.44,46995.1,26447.17326625
46995.09,47901.0,44701.54,46124.08,26305.56366042
46120.79,47732.5,44320.01,46666.11,36534.39765866
46678.54,49102.29,45555.55,46342.66,38150.89478822
46344.96,46522.2,41444.97,42773.03,46862.43347199
42775.1,43250.0,42427.0,42839.33,10998.76404264
42839.32,43064.13,41680.73,41697.33,7834.26155365
41698.13,43331.91,41680.0,42490.16,10869.45830576
42481.69,43569.23,42028.02,43130.45,18180.4405406
43130.35,43185.47,42160.0,42739.49,16377.4603776
42737.68,42877.22,40600.05,41293.5,25089.48495636
41290.57,42159.52,40236.49,41624.07,22744.88751944
41623.94,41846.15,41418.55,41666.67,4836.63124969
41666.67,41858.59,41472.49,41554.05,3138.26294449
41553.92,41658.0,39372.44,39524.27,26539.34338688
39524.27,40144.49,38501.0,39878.3,21966.56334645
39878.28,40527.26,39382.15,40077.78,17438.97734668
40079.87,40282.87,39503.0,39941.66,12977.61691901
39941.66,42243.14,39805.95,41814.8,19359.37921096
41814.96,42199.99,41383.94,42126.55,3774.45056434
42126.55,42839.07,41617.53,42034.59,4298.44263812
42034.57,43326.77,41787.35,43306.18,12529.09255982
43303.3,43872.99,42680.2,42942.78,16384.61219735
42937.72,43741.94,42265.77,42548.08,15320.55510554
42545.47,43276.19,41846.04,43078.81,11526.63383073
43080.38,43700.0,42527.58,43181.66,12202.24125895
43183.62,43358.13,42863.58,43010.67,2254.45335539
43007.82,43100.0,42228.01,42568.55,2643.251649
42571.91,43520.0,42235.0,42657.67,8756.87806894
42658.3,43372.79,42516.07,43095.79,7940.35140737
43097.16,44430.0,42760.44,44343.61,12440.36853251
44345.94,45637.38,44335.0,45305.2,19283.80580787
45304.83,48230.02,45252.93,47160.41,21802.75242269
47157.01,48179.43,46889.53,47767.06,5663.309891
47767.06,48614.0,47590.3,48316.3,5243.1260706
48321.14,50363.42,47715.67,49941.81,18540.40980624
49941.95,50423.42,48327.81,49725.36,20471.56790372
49724.55,52111.0,49253.92,51858.59,20249.94369733
51858.51,52890.0,51353.49,51934.29,18465.04404385
51935.23,52608.2,51597.87,52162.64,13816.27351282
52162.65,52214.05,50642.36,51666.22,5387.27413329
51666.23,52400.0,51174.38,52153.63,3997.17143898
52153.63,52501.01,51687.98,51787.05,6009.01451962
51787.05,53000.0,50764.01,52277.52,15888.87599974
52277.53,52394.91,50628.6,51851.67,13735.03407249
